impl,pow,time(ms),mem(MB)
sppark,20,34.72,382
sppark,21,57.42,478
sppark,22,101.16,670
sppark,23,188.26,990
sppark,24,365.54,990
wlc_msm_constant,20,19.66,2550
wlc_msm_constant,21,35.89,4702
wlc_msm_constant,22,66.59,9006
wlc_msm_constant,23,67.77,9006
wlc_msm_constant,24,67.77,9006
wlc_msm_bal,20,50.66,1496
wlc_msm_bal,21,97.44,2640
wlc_msm_bal,22,189.74,4928
wlc_msm_bal,23,382.23,9504
wlc_msm_bal,24,384.11,9504
mmsm,20,18.73,888
mmsm,21,31.13,888
mmsm,22,56.21,888
mmsm,23,110.06,888
mmsm,24,215.25,888
