pid, used_gpu_memory [MiB]
2032505, 888 MiB
2032505, 888 MiB
2032505, 888 MiB
2032505, 888 MiB
2032505, 888 MiB
2032505, 888 MiB
2032505, 888 MiB
2032505, 888 MiB
2032505, 888 MiB
2032505, 888 MiB
2032505, 888 MiB
pid, used_gpu_memory [MiB]
2033084, 888 MiB
2033084, 888 MiB
2033084, 888 MiB
2033084, 888 MiB
2033084, 888 MiB
2033084, 888 MiB
2033084, 888 MiB
2033084, 888 MiB
2033084, 888 MiB
2033084, 888 MiB
2033084, 888 MiB
pid, used_gpu_memory [MiB]
2033686, 888 MiB
2033686, 888 MiB
2033686, 888 MiB
2033686, 888 MiB
2033686, 888 MiB
2033686, 888 MiB
2033686, 888 MiB
2033686, 888 MiB
2033686, 888 MiB
2033686, 888 MiB
2033686, 888 MiB
pid, used_gpu_memory [MiB]
2034270, 1328 MiB
2034270, 1328 MiB
2034270, 1328 MiB
2034270, 1328 MiB
2034270, 1328 MiB
2034270, 1328 MiB
2034270, 1328 MiB
2034270, 1328 MiB
2034270, 1328 MiB
pid, used_gpu_memory [MiB]
2034835, 1328 MiB
2034835, 1328 MiB
2034835, 1328 MiB
2034835, 1328 MiB
2034835, 1328 MiB
2034835, 1328 MiB
2034835, 1328 MiB
2034835, 1328 MiB
2034835, 1328 MiB
pid, used_gpu_memory [MiB]
2035405, 1328 MiB
2035405, 1328 MiB
2035405, 1328 MiB
2035405, 1328 MiB
2035405, 1328 MiB
2035405, 1328 MiB
2035405, 1328 MiB
2035405, 1328 MiB
2035405, 1328 MiB
pid, used_gpu_memory [MiB]
2035972, 2208 MiB
2035972, 2208 MiB
2035972, 2208 MiB
2035972, 2208 MiB
2035972, 2208 MiB
2035972, 2208 MiB
2035972, 2208 MiB
2035972, 2208 MiB
2035972, 2208 MiB
2035972, 2208 MiB
pid, used_gpu_memory [MiB]
2036578, 2208 MiB
2036578, 2208 MiB
2036578, 2208 MiB
2036578, 2208 MiB
2036578, 2208 MiB
2036578, 2208 MiB
2036578, 2208 MiB
2036578, 2208 MiB
2036578, 2208 MiB
2036578, 2208 MiB
pid, used_gpu_memory [MiB]
2037151, 2208 MiB
2037151, 2208 MiB
2037151, 2208 MiB
2037151, 2208 MiB
2037151, 2208 MiB
2037151, 2208 MiB
2037151, 2208 MiB
2037151, 2208 MiB
2037151, 2208 MiB
2037151, 2208 MiB
pid, used_gpu_memory [MiB]
2037728, 3968 MiB
2037728, 3968 MiB
2037728, 3968 MiB
2037728, 3968 MiB
2037728, 3968 MiB
2037728, 3968 MiB
2037728, 3968 MiB
2037728, 3968 MiB
2037728, 3968 MiB
2037728, 3968 MiB
pid, used_gpu_memory [MiB]
2038340, 3968 MiB
2038340, 3968 MiB
2038340, 3968 MiB
2038340, 3968 MiB
2038340, 3968 MiB
2038340, 3968 MiB
2038340, 3968 MiB
2038340, 3968 MiB
2038340, 3968 MiB
2038340, 3968 MiB
pid, used_gpu_memory [MiB]
2038959, 3968 MiB
2038959, 3968 MiB
2038959, 3968 MiB
2038959, 3968 MiB
2038959, 3968 MiB
2038959, 3968 MiB
2038959, 3968 MiB
2038959, 3968 MiB
2038959, 3968 MiB
2038959, 3968 MiB
pid, used_gpu_memory [MiB]
2039538, 7488 MiB
2039538, 7488 MiB
2039538, 7488 MiB
2039538, 7488 MiB
2039538, 7488 MiB
2039538, 7488 MiB
2039538, 7488 MiB
2039538, 7488 MiB
2039538, 7488 MiB
2039538, 7488 MiB
2039538, 7488 MiB
pid, used_gpu_memory [MiB]
2040203, 7488 MiB
2040203, 7488 MiB
2040203, 7488 MiB
2040203, 7488 MiB
2040203, 7488 MiB
2040203, 7488 MiB
2040203, 7488 MiB
2040203, 7488 MiB
2040203, 7488 MiB
2040203, 7488 MiB
2040203, 7488 MiB
pid, used_gpu_memory [MiB]
2040826, 7488 MiB
2040826, 7488 MiB
2040826, 7488 MiB
2040826, 7488 MiB
2040826, 7488 MiB
2040826, 7488 MiB
2040826, 7488 MiB
2040826, 7488 MiB
2040826, 7488 MiB
2040826, 7488 MiB
2040826, 7488 MiB
