pid, used_gpu_memory [MiB]
2005882, 382 MiB
2005882, 246 MiB
2005882, 318 MiB
2005882, 246 MiB
2005882, 382 MiB
2005882, 246 MiB
2005882, 382 MiB
2005882, 246 MiB
2005882, 382 MiB
2005882, 246 MiB
2005882, 382 MiB
2005882, 246 MiB
2005882, 382 MiB
2005882, 246 MiB
2005882, 382 MiB
2005882, 246 MiB
2005882, 382 MiB
2005882, 246 MiB
2005882, 382 MiB
2005882, 246 MiB
2005882, 382 MiB
2005882, 246 MiB
2005882, 382 MiB
2005882, 246 MiB
pid, used_gpu_memory [MiB]
2006653, 10 MiB
2006653, 382 MiB
2006653, 246 MiB
2006653, 382 MiB
2006653, 246 MiB
2006653, 382 MiB
2006653, 246 MiB
2006653, 382 MiB
2006653, 246 MiB
2006653, 382 MiB
2006653, 246 MiB
2006653, 318 MiB
2006653, 246 MiB
2006653, 382 MiB
2006653, 246 MiB
2006653, 382 MiB
2006653, 246 MiB
2006653, 382 MiB
2006653, 246 MiB
2006653, 382 MiB
2006653, 246 MiB
2006653, 382 MiB
2006653, 246 MiB
2006653, 382 MiB
2006653, 246 MiB
pid, used_gpu_memory [MiB]
2007381, 246 MiB
2007381, 382 MiB
2007381, 246 MiB
2007381, 382 MiB
2007381, 246 MiB
2007381, 382 MiB
2007381, 246 MiB
2007381, 382 MiB
2007381, 246 MiB
2007381, 382 MiB
2007381, 246 MiB
2007381, 382 MiB
2007381, 246 MiB
2007381, 318 MiB
2007381, 246 MiB
2007381, 382 MiB
2007381, 246 MiB
2007381, 382 MiB
2007381, 246 MiB
2007381, 382 MiB
2007381, 246 MiB
2007381, 382 MiB
2007381, 246 MiB
2007381, 382 MiB
2007381, 246 MiB
pid, used_gpu_memory [MiB]
2008096, 10 MiB
2008096, 350 MiB
2008096, 246 MiB
2008096, 478 MiB
2008096, 246 MiB
2008096, 478 MiB
2008096, 246 MiB
2008096, 478 MiB
2008096, 246 MiB
2008096, 478 MiB
2008096, 246 MiB
2008096, 478 MiB
2008096, 246 MiB
2008096, 478 MiB
2008096, 246 MiB
2008096, 478 MiB
2008096, 246 MiB
pid, used_gpu_memory [MiB]
2008752, 10 MiB
2008752, 318 MiB
2008752, 246 MiB
2008752, 478 MiB
2008752, 246 MiB
2008752, 414 MiB
2008752, 246 MiB
2008752, 478 MiB
2008752, 246 MiB
2008752, 478 MiB
2008752, 246 MiB
2008752, 478 MiB
2008752, 246 MiB
2008752, 478 MiB
2008752, 246 MiB
2008752, 478 MiB
2008752, 246 MiB
pid, used_gpu_memory [MiB]
2009431, 10 MiB
2009431, 478 MiB
2009431, 246 MiB
2009431, 478 MiB
2009431, 246 MiB
2009431, 478 MiB
2009431, 246 MiB
2009431, 478 MiB
2009431, 246 MiB
2009431, 414 MiB
2009431, 246 MiB
2009431, 446 MiB
2009431, 246 MiB
2009431, 478 MiB
2009431, 246 MiB
2009431, 478 MiB
2009431, 246 MiB
2009431, 478 MiB
2009431, 246 MiB
pid, used_gpu_memory [MiB]
2010110, 670 MiB
2010110, 246 MiB
2010110, 670 MiB
2010110, 246 MiB
2010110, 670 MiB
2010110, 246 MiB
2010110, 670 MiB
2010110, 246 MiB
2010110, 670 MiB
2010110, 246 MiB
2010110, 670 MiB
2010110, 246 MiB
2010110, 670 MiB
2010110, 246 MiB
2010110, 670 MiB
2010110, 246 MiB
2010110, 446 MiB
2010110, 246 MiB
pid, used_gpu_memory [MiB]
2010766, 670 MiB
2010766, 246 MiB
2010766, 670 MiB
2010766, 246 MiB
2010766, 670 MiB
2010766, 246 MiB
2010766, 670 MiB
2010766, 246 MiB
2010766, 670 MiB
2010766, 246 MiB
2010766, 670 MiB
2010766, 246 MiB
2010766, 670 MiB
2010766, 246 MiB
2010766, 670 MiB
2010766, 246 MiB
2010766, 670 MiB
2010766, 246 MiB
2010766, 286 MiB
2010766, 246 MiB
pid, used_gpu_memory [MiB]
2011438, 670 MiB
2011438, 246 MiB
2011438, 670 MiB
2011438, 246 MiB
2011438, 670 MiB
2011438, 246 MiB
2011438, 670 MiB
2011438, 246 MiB
2011438, 670 MiB
2011438, 246 MiB
2011438, 670 MiB
2011438, 246 MiB
2011438, 318 MiB
2011438, 246 MiB
2011438, 670 MiB
2011438, 246 MiB
2011438, 606 MiB
2011438, 246 MiB
pid, used_gpu_memory [MiB]
2012144, 990 MiB
2012144, 246 MiB
2012144, 990 MiB
2012144, 246 MiB
2012144, 990 MiB
2012144, 246 MiB
2012144, 990 MiB
2012144, 246 MiB
2012144, 958 MiB
2012144, 246 MiB
2012144, 990 MiB
2012144, 246 MiB
2012144, 990 MiB
2012144, 246 MiB
2012144, 990 MiB
2012144, 246 MiB
2012144, 990 MiB
2012144, 246 MiB
2012144, 798 MiB
2012144, 246 MiB
2012144, 990 MiB
2012144, 246 MiB
pid, used_gpu_memory [MiB]
2012820, 990 MiB
2012820, 246 MiB
2012820, 990 MiB
2012820, 246 MiB
2012820, 990 MiB
2012820, 246 MiB
2012820, 894 MiB
2012820, 246 MiB
2012820, 990 MiB
2012820, 246 MiB
2012820, 990 MiB
2012820, 246 MiB
2012820, 990 MiB
2012820, 246 MiB
2012820, 990 MiB
2012820, 246 MiB
2012820, 990 MiB
2012820, 246 MiB
2012820, 766 MiB
2012820, 246 MiB
2012820, 990 MiB
2012820, 246 MiB
2012820, 286 MiB
